version,release_date,feature_name,category,models,hardware,description
2024.14,"April 17, 2024",Better Route Available,New Feature,,,
2024.14,"April 17, 2024",Wiper Controls,New Feature,,,
2024.14,"April 17, 2024",Other Updates,New Feature,,,
2024.14,"April 17, 2024",Speed Camera Chime,New Feature,,,
2024.14,"April 17, 2024",Average Speed Zones,New Feature,,,
2024.14,"April 17, 2024",Adaptive High Beams,New Feature,,,
2024.14,"April 17, 2024",Audible,New Feature,,,
2024.14,"April 17, 2024",Beach Buggy Racing 2,New Feature,,,
2024.14,"April 17, 2024",Cabin Overheat Protection,New Feature,,,
2024.14,"April 17, 2024",Customize Scroll Wheel Functions,New Feature,,,
2024.14,"April 17, 2024",Cybertruck Colorizer,New Feature,,,
2024.14,"April 17, 2024",Improved Turning Circle,New Feature,,,
2024.14,"April 17, 2024",Front Passenger Air Vent,New Feature,,,
2024.14,"April 17, 2024",New Lock Sounds,New Feature,,,
2024.14,"April 17, 2024",Zoom,New Feature,,,
2024.14,"April 17, 2024",Security Improvements,New Feature,,,
2024.14,"April 17, 2024",New Media Player,Undocumented Change,,,
2024.14,"April 17, 2024",Charging Display,Undocumented Change,,,
2024.14,"April 17, 2024",Pause Trunk Opening,Undocumented Change,,,
2024.14,"April 17, 2024",Larger Speedometer,Undocumented Change,,,
2024.14,"April 17, 2024",Power Meter,Undocumented Change,,,
2024.14.3,"April 29, 2024",Visual Updates,New Feature,,,
2024.14.3,"April 29, 2024",Audible,New Feature,,,
2024.14.3,"April 29, 2024",Hands-Free Trunk,New Feature,,,
2024.14.3,"April 29, 2024",Preview of Sentry Mode Recordings,New Feature,,,
2024.14.3,"April 29, 2024",Trip Progress Bar,New Feature,,,
2024.14.3,"April 29, 2024",Spotify Queue and Playback Speed,New Feature,,,
2024.14.3,"April 29, 2024",Better Route Available,New Feature,,,
2024.14.3,"April 29, 2024",Wiper Controls,New Feature,,,
2024.14.3,"April 29, 2024",Other Updates,New Feature,,,
2024.14.3,"April 29, 2024",Auto Shift (Beta),New Feature,,,
2024.14.3,"April 29, 2024",Speed Camera Chime,New Feature,,,
2024.14.3,"April 29, 2024",Average Speed Zones,New Feature,,,
